AGENCY_AREA,CATCHMENT,WATERBODY_TYPE,WATERBODY_TYPE_DESCRIPTION,WATER_BODY,SITE_ID,SITE_VERSION,NGR_PREFIX,EASTING,NORTHING,NGR_10_FIG,FULL_EASTING,FULL_NORTHING,WFD_WATERBODY_ID,SLOPE,DIST_FROM_SOURCE,SOURCE_ALTITUDE,ALKALINITY,BASE_DATA_DATE,MIN_SAMPLE_DATE,MAX_SAMPLE_DATE,COUNT_OF_SAMPLES,ECN_SITE_MPHYTE
THAMES - SOUTH EAST,WEY (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WEY (NORTH),35402,1,SU,80324,44244,SU8032444244,480324,144244,GB106039017830,1.7,13.118,105.0,253.0,01/01/1995,13/08/2003,13/07/2018,5,False
THAMES - NORTH EAST,INGREBOURNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ROM/BEAM,34000,1,TQ,50100,89800,TQ5010089800,550100,189800,GB106037028120,2.5,11.120,82.0,211.0,01/01/1995,17/07/2002,27/08/2020,7,False
THAMES - NORTH EAST,CRANE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,YEADING BROOK EAST,34071,1,TQ,11309,84709,TQ1130984709,511309,184709,GB106039023050,2.5,5.350,44.0,223.0,01/01/1995,09/09/2013,19/08/2014,2,False
THAMES - WEST,CHERWELL AND RAY (OXON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,OCKLEY BROOK,35558,1,SP,51084,31799,SP5108431799,451084,231799,GB106039037230,3.3,7.800,130.0,244.0,01/01/1995,05/09/2013,05/09/2013,1,False
SOUTH WEST - NORTH WESSEX,TONE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TONE,10521,1,ST,14350,22300,ST1435022300,314350,122300,GB108052015481,3.3,27.500,,158.6,01/01/1995,28/07/2003,06/09/2006,2,False
SOUTH WEST - NORTH WESSEX,TONE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TONE,10524,1,ST,07850,20180,ST0785020180,307850,120180,GB108052021370,5.0,18.000,,75.6,01/01/1995,15/07/2002,08/08/2003,2,False
SOUTH WEST - NORTH WESSEX,TONE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HALSE WATER,10536,1,ST,20710,25150,ST2071025150,320710,125150,GB108052021390,3.0,17.000,170.0,215.8,01/01/1995,24/07/2003,30/07/2014,3,False
THAMES - NORTH EAST,INGREBOURNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ROM/BEAM,34086,1,TQ,49750,92200,TQ4975092200,549750,192200,GB106037028120,1.8,7.630,82.0,211.0,04/10/2012,08/08/2013,08/08/2013,1,False
THAMES - SOUTH EAST,WEY (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAKER STREAM,35569,1,SU,73024,40021,SU7302440021,473024,140021,GB106039017830,2.6,5.310,,244.0,01/01/1995,05/08/1998,19/09/2001,5,False
THAMES - NORTH EAST,LEE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NAZEING BROOK,34161,1,TL,41400,05700,TL4140005700,541400,205700,GB106038033210,5.0,1.650,46.0,240.6,04/10/2012,26/08/2011,26/08/2011,1,False
THAMES - NORTH EAST,THAMES SOURCE TO TEDDINGTON (NE SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,THE CUT,35706,1,SU,85500,73300,SU8550073300,485500,173300,GB106039023510,,11.780,,,,01/07/1994,01/07/1994,1,False
SOUTH WEST - CORNWALL,FOWEY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FOWEY,10709,1,SX,20660,74400,SX2066074400,220660,074400,GB108048007650,9.9,8.250,288.0,10.9,01/01/1995,13/08/2007,07/08/2009,3,False
SOUTH WEST - CORNWALL,LOOE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EAST LOOE RIVER,10713,1,SX,24800,57190,SX2480057190,224800,057190,,1.6,12.450,,59.6,01/01/1995,02/09/1999,02/09/1999,1,False
SOUTH WEST - CORNWALL,SEATON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SEATON,10718,1,SX,30390,56830,SX3039056830,230390,056830,GB108048002320,2.3,15.800,297.0,51.0,01/01/1995,07/08/2007,28/07/2008,2,False
THAMES - NORTH EAST,CRANE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,YEADING BROOK,34253,1,TQ,10414,78779,TQ1041478779,510414,178779,GB106039023030,1.0,19.100,55.0,194.0,01/01/1995,09/06/2010,08/09/2015,2,False
THAMES - NORTH EAST,RODING,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RODING,34262,1,TQ,42353,87109,TQ4235387109,542353,187109,GB106037028181,1.1,64.470,105.0,190.0,01/01/1995,13/08/2002,14/08/2018,10,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WHITEWATER (LODDON),35790,1,SU,73721,54858,SU7372154858,473721,154858,GB106039017240,1.9,7.040,,,,09/08/2005,09/08/2005,1,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WHITEWATER (LODDON),35791,1,SU,72191,51338,SU7219151338,472191,151338,GB106039017240,4.0,2.000,86.0,218.0,04/10/2012,21/07/2005,07/07/2021,5,False
THAMES - WEST,WINDRUSH,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WINDRUSH,35797,1,SP,29057,11527,SP2905711527,429057,211527,GB106039030440,1.2,37.900,220.0,194.0,04/10/2012,11/09/2009,09/09/2020,10,False
THAMES - SOUTH EAST,WEY (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WEY,35800,1,SU,94650,43880,SU9465043880,494650,143880,GB106039017820,0.6,42.580,202.0,113.0,01/01/1995,29/08/2006,05/08/2014,3,False
THAMES - SOUTH EAST,WEY (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WEY (NORTH),35830,1,SU,86010,46630,SU8601046630,486010,146630,GB106039017830,1.7,21.286,105.0,229.0,01/01/1995,01/09/1994,16/06/2014,14,False
SOUTH WEST - CORNWALL,LOOE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,EAST LOOE RIVER,10729,1,SX,24540,62040,SX2454062040,224540,062040,GB108048001440,5.6,6.600,,47.6,01/01/1995,02/09/1999,02/09/1999,1,False
SOUTH WEST - CORNWALL,PLYM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MEAVY,10764,1,SX,52830,66940,SX5283066940,252830,066940,GB108047003660,6.8,9.300,415.0,12.3,04/10/2012,28/07/2010,28/07/2010,1,False
SOUTH WEST - CORNWALL,TAVY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LUMBURN,10777,1,SX,44950,76330,SX4495076330,244950,076330,GB108047007850,14.3,3.600,222.0,48.6,01/01/1995,24/09/2009,24/09/2009,1,False
SOUTH WEST - CORNWALL,TAVY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TAVY,10779,1,SX,46990,71060,SX4699071060,246990,071060,GB108047007840,5.4,24.200,565.0,29.2,01/01/1995,28/07/2010,28/07/2010,1,False
SOUTH WEST - CORNWALL,LYNHER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WITHEY BROOK,10790,1,SX,24360,76360,SX2436076360,224360,076360,GB108047007680,5.7,5.400,296.0,10.1,01/01/1995,03/09/2007,25/09/2008,2,False
THAMES - SOUTH EAST,WEY (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CLASFORD BROOK,34380,1,SU,94660,52820,SU9466052820,494660,152820,GB106039017850,1.7,2.150,89.0,93.8,04/10/2012,10/07/2013,10/07/2013,1,False
SOUTH WEST - CORNWALL,COASTAL - 21A,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TREVAYLOR STREAM,10860,1,SW,48120,31130,SW4812031130,148120,031130,GB108048002100,16.7,6.600,193.0,19.0,01/01/1995,04/07/2007,17/06/2014,4,False
SOUTH WEST - CORNWALL,COASTAL - 23A,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HOLYWELL STREAM,10867,1,SW,76807,58689,SW7680758689,176807,058689,GB108049000710,6.6,8.650,106.0,155.1,01/01/1995,23/08/2013,23/08/2013,1,False
SOUTH WEST - CORNWALL,COBER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MEDLYN STREAM,10885,1,SW,69370,32630,SW6937032630,169370,032630,GB108048001171,7.4,4.100,170.0,12.2,01/01/1995,19/07/2011,19/07/2011,1,False
THAMES - SOUTH EAST,MOLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SALFORDS STREAM,35943,1,TQ,26600,46620,TQ2660046620,526600,146620,GB106039017540,1.6,10.497,76.0,204.0,01/01/1995,30/07/2002,12/08/2015,5,False
THAMES - WEST,RAY (WILTS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RAY (WILTS),35958,1,SU,11910,92619,SU1191092619,411910,192619,GB106039023330,0.5,19.360,107.0,224.0,01/01/1995,01/07/1994,07/08/2012,8,False
THAMES - WEST,RAY (WILTS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RAY (WILTS),35959,1,SU,11097,89639,SU1109789639,411097,189639,GB106039023330,1.2,15.490,107.0,224.0,01/02/2013,01/07/1994,05/09/2014,9,False
THAMES - WEST,OCK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,OCK,35983,1,SU,39982,95603,SU3998295603,439982,195603,GB106039023430,1.2,20.960,110.0,265.0,01/01/1995,14/07/2003,03/09/2007,3,False
SOUTH WEST - NORTH WESSEX,DONIFORD STREAM/KILVE STREAM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DONIFORD STREAM,10984,1,ST,11011,37142,ST1101137142,311011,137142,GB108051020250,8.3,6.050,,126.2,01/01/1995,09/09/2004,09/08/2005,2,False
THAMES - WEST,KENNET,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DUN (KENNET),34619,1,SU,33978,68854,SU3397868854,433978,168854,GB106039023172,1.6,13.260,,,,04/08/2006,04/08/2006,1,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LODDON,36038,1,SU,69287,55894,SU6928755894,469287,155894,GB106039017080,,9.390,,,,23/08/2005,23/08/2005,1,False
THAMES - WEST,KENNET,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LAMBOURN,36072,1,SU,45193,69283,SU4519369283,445193,169283,GB106039023220,2.5,20.920,140.0,235.0,01/01/1995,06/09/2007,01/07/2021,14,True
THAMES - WEST,THAME,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BEAR BROOK,33206,1,SP,78602,14611,SP7860214611,478602,214611,GB106039030350,10.0,12.700,145.0,231.0,01/01/1995,03/09/2013,03/09/2013,1,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLACKWATER (THAMES),33209,1,SU,88150,49870,SU8815049870,488150,149870,GB106039017180,2.5,4.853,,136.0,01/01/1995,01/07/1994,22/08/2012,14,False
THAMES - WEST,WINDRUSH,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WINDRUSH,34671,1,SP,17169,20053,SP1716920053,417169,220053,GB106039030480,2.9,20.660,,169.0,01/01/1995,14/07/2004,23/07/2005,2,False
THAMES - SOUTH EAST,HOGSMILL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HOGSMILL,36095,1,TQ,18800,68640,TQ1880068640,518800,168640,GB106039017440,1.9,8.418,67.0,200.0,01/01/1995,18/08/2006,28/06/2021,5,False
THAMES - WEST,KENNET,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FOUDRY BROOK,36126,1,SU,70171,68748,SU7017168748,470171,168748,GB106039017380,0.4,19.770,,145.0,01/01/1995,16/08/2006,31/08/2007,2,False
THAMES - WEST,COLE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,COLE,36214,1,SU,23267,93541,SU2326793541,423267,193541,GB106039023730,0.9,21.100,,227.0,01/01/1995,31/08/2006,12/08/2011,3,False
THAMES - WEST,CHERWELL AND RAY (OXON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CHERWELL,36230,1,SP,46100,40100,SP4610040100,446100,240100,,1.0,35.890,,,,15/07/1996,19/09/1996,2,False
THAMES - NORTH EAST,MIMRAM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MIMRAM,33408,1,TL,22669,16930,TL2266916930,522669,216930,GB106038033270,3.0,10.500,98.0,253.1,01/01/2003,25/08/2010,25/08/2010,1,False
THAMES - WEST,CHERWELL AND RAY (OXON),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TETCHWICK BROOK,34829,1,SP,66978,19561,SP6697819561,466978,219561,GB106039030070,0.7,10.580,163.0,180.0,01/01/2011,29/08/2013,14/08/2014,2,False
THAMES - SOUTH EAST,CHERTSEY BOURNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BOURNE (S),36277,1,TQ,01727,61895,TQ0172761895,501727,161895,GB106039017020,1.2,13.365,,75.2,01/01/1995,15/08/2003,19/08/2004,2,False
THAMES - SOUTH EAST,LODDON,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLACKWATER (THAMES),36287,1,SU,81950,61870,SU8195061870,481950,161870,GB106039017290,1.0,21.373,,133.0,01/01/1995,01/07/1994,05/09/2012,9,False
SOUTH WEST - NORTH WESSEX,SOMERSET FROME/MELLS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MELLS,202418,1,ST,63460,49995,ST6346049995,363460,149995,GB109053022020,,,,,,10/08/2021,10/08/2021,1,False
SOUTH WEST - SOUTH WESSEX,MUDE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MUDE,202511,1,SZ,20271,99614,SZ2027199614,420271,099614,GB108043011020,,,,,,09/07/2021,09/07/2021,1,False
ANGLIAN - CENTRAL,ALCONBURY BROOK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,COCK BROOK,202567,1,TL,08808,78303,TL0880878303,508808,278303,GB105033042810,5.0,1.700,70.0,,,01/06/2021,01/06/2021,2,False
NORTH EAST - NORTH EAST,NORTH TYNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NORTH TYNE,202918,1,NY,63194,92786,NY6319492786,363194,592786,GB103023075081,,,,,,30/06/2021,30/06/2021,1,False
NORTH EAST - NORTH EAST,WANSBECK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WANSBECK,202922,1,NZ,04441,84182,NZ0444184182,404441,584182,GB103022076990,5.8,15.000,229.0,,,21/09/2021,21/09/2021,1,False
NORTH EAST - NORTH EAST,WANSBECK,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FALLOWLEES BURN,202928,1,NY,97486,94842,NY9748694842,397486,594842,GB103022076510,,,,,,14/07/2021,14/07/2021,1,False
NORTH EAST - NORTH EAST,TYNE ESTUARINE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TEAM,202930,1,NZ,25819,57009,NZ2581957009,425819,557009,GB103023075670,,,,,,23/06/2021,23/06/2021,1,False
NORTH EAST - NORTH EAST,NORTH TYNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BARRASFORD BURN,202931,1,NY,90785,74702,NY9078574702,390785,574702,GB103023075802,,,,,,18/08/2021,18/08/2021,1,False
NORTH EAST - NORTH EAST,TEES,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLEA BECK,202996,1,NY,86163,25494,NY8616325494,386163,525494,GB103025072511,,,,,,13/08/2021,13/08/2021,1,False
NORTH EAST - NORTH EAST,LEVEN (DALES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,POTTO BECK,203104,1,NZ,47604,03864,NZ4760403864,447604,503864,GB103025071850,,,,,,10/08/2021,10/08/2021,1,False
ANGLIAN - NORTHERN,CENTRAL LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,UPPER WITHAM,209571,1,SK,92950,28596,SK9295028596,492950,328596,GB105030051570,,,,,,30/09/2021,30/09/2021,1,False
SOUTH WEST - DEVON,TORRIDGE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GAMMATON STREAM,202436,1,SS,46898,26592,SS4689826592,246898,126592,GB108050014510,,,,,,17/08/2021,17/08/2021,1,False
SOUTH WEST - DEVON,"NORTH DEVON COASTAL RIVERS - ABBEY RIVER, WELCOMBE, WEST WILDER",WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WELCOMBE STREAM,202447,1,SS,26199,19010,SS2619919010,226199,119010,GB108050013970,,,,,,03/08/2021,03/08/2021,1,False
SOUTH WEST - NORTH WESSEX,YEO,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,YEO,202714,1,ST,60922,14151,ST6092214151,360922,114151,GB108052015630,,,,,,27/07/2021,27/07/2021,1,False
ANGLIAN - EASTERN,WENSUM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WENSUM,85720,1,TF,92311,29185,TF9231129185,592311,329185,GB105034055881,1.4,17.000,60.0,250.7,04/10/2012,19/07/1995,08/07/2010,12,False
SOUTH WEST - DEVON,TEIGN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NORTH TEIGN RIVER,85868,1,SX,65350,87070,SX6535087070,265350,087070,GB108046008530,8.0,7.550,522.0,10.2,04/10/2012,07/06/2007,23/07/2014,3,False
SOUTH WEST - SOUTH WESSEX,BRIT,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,UNAMED TRIB OF THE BRIT,202092,1,ST,49032,00468,ST4903200468,349032,100468,GB108044009600,,,,,,13/07/2021,13/07/2021,1,False
SOUTHERN - KENT & E. SUSSEX,MEDWAY,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,LEYBOURNE STREAM,188651,1,TQ,68908,58690,TQ6890858690,568908,158690,GB106040018450,9.5,7.500,5.0,208.0,01/09/2019,27/07/2017,27/07/2017,1,False
SOUTH WEST - SOUTH WESSEX,LOWER STOUR,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,STOUR (SW - LOWER),188654,1,SZ,13403,94054,SZ1340394054,413403,094054,GB108043011040,0.6,92.000,205.0,187.0,01/01/2017,01/08/2017,01/08/2017,1,False
ANGLIAN - CENTRAL,SNAIL/SOHAM LODE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SOHAM LODE,56020,1,TL,58878,73015,TL5887873015,558878,273015,GB105033042860,0.1,22.000,,253.8,01/01/1995,26/07/2004,13/07/2005,2,False
ANGLIAN - CENTRAL,CAM (2),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAM,56090,1,TL,46600,59800,TL4660059800,546600,259800,GB105033042750,0.1,46.500,,250.8,01/01/1995,22/07/2005,22/07/2005,1,False
ANGLIAN - CENTRAL,CAM (2),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAM,56109,1,TL,43115,52707,TL4311552707,543115,252707,GB105033037600,1.1,36.000,115.0,259.6,03/07/2013,27/07/2004,22/08/2019,6,False
ANGLIAN - CENTRAL,MIDDLE LEVELS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CRANBROOK DRAIN,56140,1,TL,37159,78102,TL3715978102,537159,278102,GB205033000010,0.1,7.500,,267.8,01/01/1995,12/08/2003,12/08/2003,1,False
ANGLIAN - CENTRAL,RHEE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MILL RIVER,56160,1,TL,32068,47478,TL3206847478,532068,247478,GB105033038030,1.2,7.750,30.0,226.4,01/01/1995,24/06/2013,09/07/2019,3,False
ANGLIAN - CENTRAL,IVEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,IVEL,56239,1,TL,18500,42800,TL1850042800,518500,242800,GB105033038170,0.6,28.000,,221.4,01/01/1995,06/08/2007,06/08/2007,1,False
ANGLIAN - CENTRAL,KYM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,KYM,56252,1,TL,17204,63109,TL1720463109,517204,263109,GB105033043270,1.1,31.400,95.0,236.5,03/02/2014,02/07/2013,09/07/2014,2,False
ANGLIAN - CENTRAL,KYM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ELLINGTON BROOK,56257,1,TL,16275,72092,TL1627572092,516275,272092,GB105033042870,1.2,21.600,78.0,223.0,03/02/2014,13/06/2013,23/06/2016,2,False
ANGLIAN - CENTRAL,"OUSE, ELSTOW BK",WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ELSTOW BROOK,56285,1,TL,10439,50216,TL1043950216,510439,250216,GB105033038110,1.0,20.500,58.0,174.8,01/01/1995,27/06/2006,24/07/2014,3,False
ANGLIAN - EASTERN,WENSUM,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WENSUM,54965,1,TG,15970,13710,TG1597013710,615970,313710,GB105034055881,0.2,60.500,60.0,243.8,01/01/1995,30/08/2002,30/08/2002,1,False
ANGLIAN - CENTRAL,NORFOLK RIVERS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NAR,56336,1,TF,74642,13182,TF7464213182,574642,313182,GB105033047791,0.5,19.600,,222.0,03/07/2013,29/07/2002,04/07/2003,2,False
ANGLIAN - CENTRAL,NORFOLK RIVERS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,HEACHAM RIVER,56364,1,TF,66402,37502,TF6640237502,566402,337502,GB105033053480,2.3,10.100,25.0,225.6,04/02/2014,25/09/2013,22/08/2017,3,False
ANGLIAN - CENTRAL,OUZEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,OUZEL,56408,1,SP,94579,21341,SP9457921341,494579,221341,GB105033030520,1.0,9.250,,255.2,01/01/1995,31/07/2007,31/07/2007,1,False
ANGLIAN - CENTRAL,PADBURY/CLAYDON BKS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CLAYDON BROOK,56460,1,SP,77654,26740,SP7765426740,477654,226740,GB105033030570,3.9,6.400,150.0,220.7,23/01/2014,14/09/2012,08/08/2016,2,False
ANGLIAN - CENTRAL,PADBURY/CLAYDON BKS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CLAYDON BROOK,56479,1,SP,71500,29000,SP7150029000,471500,229000,GB105033030580,1.2,13.380,130.0,234.8,01/01/1995,14/09/2012,08/07/2014,2,False
SOUTH WEST - CORNWALL,COBER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,COBER,78439,1,SW,67420,30870,SW6742030870,167420,030870,GB108048001171,4.5,7.400,192.0,13.0,04/10/2012,19/09/2007,19/09/2007,1,False
MIDLANDS - CENTRAL,STOUR (WARWICKSHIRE) (LS),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLOCKLEY BROOK,188771,1,SP,18694,36664,SP1869436664,418694,236664,GB109054039830,7.7,4.600,215.5,,,14/08/2017,14/08/2017,1,False
ANGLIAN - EASTERN,GIPPING,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,GIPPING,85893,1,TM,09400,54970,TM0940054970,609400,254970,GB105035046280,2.3,16.000,55.0,266.0,04/10/2012,07/08/1995,18/08/2016,14,False
ANGLIAN - EASTERN,BLACKWATER (ANGLIAN),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,BLACKWATER,85896,1,TL,77620,24340,TL7762024340,577620,224340,GB105037041160,,,,,,19/07/1994,09/08/2011,9,False
SOUTH WEST - CORNWALL,CAMEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAMEL,80920,1,SX,04470,67500,SX0447067500,204470,067500,GB108049000190,4.8,27.300,277.0,18.0,04/10/2012,27/06/2002,22/07/2011,6,False
THAMES - NORTH EAST,COLNE (THAMES),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,COLNE,81203,1,TQ,05400,86100,TQ0540086100,505400,186100,GB106039023090,1.1,40.010,,,,22/08/2002,22/08/2002,1,False
SOUTH WEST - CORNWALL,COBER,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,COBER,202132,1,SW,67625,31159,SW6762531159,167625,031159,GB108048001171,,,,,,27/08/2021,27/08/2021,1,False
ANGLIAN - NORTHERN,NORTH LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RASE,202291,1,TF,02074,94242,TF0207494242,502074,394242,GB104029061870,,,,,,10/09/2021,10/09/2021,1,False
THAMES - SOUTH EAST,THAMES SOURCE TO TEDDINGTON (SE SECTION),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ODNEY WEIR STREAM,82437,1,SU,90150,85330,SU9015085330,490150,185330,GB106039023233,0.3,186.480,,217.0,04/10/2012,29/06/2009,29/06/2009,1,False
NORTH EAST - NORTH EAST,SKERNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SKERNE,191476,1,NZ,33023,30027,NZ3302330027,433023,530027,GB103025076070,,,,,,16/07/2018,27/09/2019,2,False
NORTH EAST - NORTH EAST,SKERNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CARRS,191477,1,NZ,32313,30408,NZ3231330408,432313,530408,GB103025072520,,,,,,16/07/2018,27/09/2019,2,False
NORTH EAST - NORTH EAST,SKERNE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,SKERNE,191479,1,NZ,31125,24558,NZ3112524558,431125,524558,GB103025072391,1.0,24.600,,250.0,06/03/2019,24/07/2018,14/08/2019,2,False
NORTH WEST - SOUTH,DANE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,DANE,202553,1,SJ,96197,64611,SJ9619764611,396197,364611,GB112068060180,,,,,,22/06/2021,22/06/2021,1,False
MIDLANDS - EAST,TRENT (LOWER),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,TUXFORD BECK,202819,1,SK,73275,71182,SK7327571182,473275,371182,GB104028058320,,,,,,21/07/2021,21/07/2021,1,False
SOUTH WEST - DEVON,TEIGN,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,WRAY BROOK,203086,1,SX,78809,81677,SX7880981677,278809,081677,GB108046008330,,,,,,16/08/2021,16/08/2021,1,False
SOUTH WEST - DEVON,TAW,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,MOOR BROOK,203089,1,SX,59227,93164,SX5922793164,259227,093164,GB108050008100,18.6,2.500,460.0,,,09/06/2021,09/06/2021,1,False
ANGLIAN - NORTHERN,NORTH LINCS,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,ANCHOLME,98401,1,TF,03200,91000,TF0320091000,503200,391000,GB104029061850,1.0,16.310,116.0,229.0,04/10/2012,17/08/2004,11/07/2013,3,False
ANGLIAN - CENTRAL,IVEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,FLIT,98501,1,TL,02571,29456,TL0257129456,502571,229456,GB105033037640,4.2,3.700,110.0,168.2,04/10/2012,14/08/2006,08/08/2013,4,False
ANGLIAN - CENTRAL,RHEE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,RHEE,92407,1,TL,42400,53100,TL4240053100,542400,253100,,0.3,28.800,,,,12/09/1994,16/08/2000,8,False
ANGLIAN - CENTRAL,CAM (2),WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,CAM,92409,1,TL,48300,61100,TL4830061100,548300,261100,,0.3,41.000,,,,30/06/1995,14/08/1996,4,False
ANGLIAN - CENTRAL,IVEL,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,IVEL,92425,1,TL,15900,49800,TL1590049800,515900,249800,GB105033038170,0.9,26.800,58.0,205.5,28/02/2013,23/09/1994,07/06/2013,11,False
ANGLIAN - NORTHERN,UPPER NENE,WBRV,RIVER: Natural/semi-natural flowing fresh watercourse,NENE,92437,1,SP,83228,61539,SP8322861539,483228,261539,GB105032045050,0.9,33.000,160.0,180.8,12/11/2013,15/08/1994,11/06/2021,15,False
